date,n_global,n_india,n_verbal_conflict,n_material_conflict,n_protest,goldstein_mean,mentions_sum
2018-03-04,102596,5523,813,729,103,0.408,50151
2018-03-05,185848,8549,1493,1066,268,0.243,86505
2018-03-06,215728,10187,1724,1263,303,0.36,97340
2018-03-07,221251,10443,1795,1563,305,0.118,101057
2018-03-08,211789,9633,1443,1138,175,0.772,91693
2018-03-09,215623,9582,1326,1303,154,0.585,87814
2018-03-10,135383,7671,1052,1044,190,0.582,72638
2018-03-11,116516,6634,845,676,135,1.109,62589
2018-03-12,188545,8733,1274,1014,249,0.832,88309
2018-03-13,215280,8665,1362,1169,215,0.37,81815
2018-03-14,228245,9007,1529,1124,166,0.419,82078
2018-03-15,219724,9056,1632,1191,200,0.33,80981
2018-03-16,207864,8352,1432,1037,156,0.521,81969
2018-03-17,130929,7161,1261,912,133,0.446,63817
2018-03-18,111789,5470,976,718,90,0.248,51450
2018-03-19,193156,8917,1636,1147,244,0.384,84216
2018-03-20,205482,9237,1715,1321,290,0.123,84063
2018-03-21,212364,8707,1484,1230,234,0.318,82173
2018-03-22,206095,8437,1477,1000,190,0.5,76252
2018-03-23,197967,8606,1567,1097,236,0.3,78197
2018-03-24,123346,7380,1205,1186,162,0.206,72391
2018-03-25,112579,5921,923,914,182,0.019,49888
2018-03-26,184903,7931,1377,1252,239,-0.115,68574
2018-03-27,211125,8318,1375,968,173,0.548,76642
2018-03-28,212943,8901,1448,1130,187,0.465,80395
2018-03-29,207428,8117,1276,1191,173,0.23,77744
2018-03-30,168488,7629,1280,1127,173,0.178,69792
2018-03-31,111976,6742,1155,1110,211,-0.261,61342
2018-04-01,97414,6139,1089,1197,202,-0.614,66072
2018-04-02,156585,10154,2214,1939,765,-0.88,105440
2018-04-03,196620,10275,1938,1921,517,-0.555,101977
2018-04-04,218430,8981,1693,1219,340,0.151,85064
2018-04-05,213964,9313,1617,1777,342,-0.199,109649
2018-04-06,196165,9262,1622,1389,256,0.113,84262
2018-04-07,123233,8028,1377,1155,227,0.349,79718
2018-04-08,112865,6568,1340,943,309,-0.077,59540
2018-04-09,191000,9514,1723,1329,347,0.142,84259
2018-04-10,219625,9299,1734,1346,331,0.163,85054
2018-04-11,220187,9807,1777,1522,428,-0.011,83685
2018-04-12,228599,11276,2270,1689,633,-0.155,102639
2018-04-13,210007,10791,2048,1950,417,-0.419,98995
2018-04-14,150670,7889,1456,1413,289,-0.447,71669
2018-04-15,119111,6421,1366,1170,353,-0.629,66236
2018-04-16,192288,9615,1732,1504,323,0.055,81606
2018-04-17,210321,9102,1522,1459,237,0.023,82467
2018-04-18,222263,9699,1491,1356,220,0.369,93603
2018-04-19,222675,10159,1831,1536,215,0.055,94874
2018-04-20,197672,8575,1544,1290,188,-0.034,80011
2018-04-21,127372,7278,1308,1484,136,-0.551,77401
2018-04-22,112212,6434,1101,1265,108,-0.462,68789
2018-04-23,184329,8676,1592,1385,126,0.001,82239
2018-04-24,219673,9074,1333,1563,125,0.059,81818
2018-04-25,211877,9082,1289,1876,79,-0.101,83685
2018-04-26,205621,8360,1389,1198,124,0.137,80762
2018-04-27,198288,8278,1289,1252,120,0.205,77507
2018-04-28,123086,6314,1009,887,181,0.288,61284
2018-04-29,110830,5475,848,785,92,0.194,51113
2018-04-30,189694,7892,1223,1138,124,0.346,67034
2018-05-01,199366,7242,1287,987,118,0.149,68511
2018-05-02,202255,7877,1165,1269,142,0.168,73263
2018-05-03,204775,8579,1438,1308,170,0.061,77989
2018-05-04,194975,8322,1446,1173,158,0.271,71235
2018-05-05,120604,6893,1197,1155,137,-0.28,81797
2018-05-06,107468,6208,1072,999,144,-0.145,62837
2018-05-07,177815,8521,1556,1457,190,-0.194,82387
