date,placebo_cricket,placebo_entertainment
2024-02-01,0.0193,0.0486
2024-02-02,0.0188,0.0541
2024-02-03,0.0301,0.0684
2024-02-04,0.0238,0.0814
2024-02-05,0.0202,0.0501
2024-02-06,0.0123,0.0504
2024-02-07,0.015,0.0514
2024-02-08,0.0125,0.0402
2024-02-09,0.0119,0.0347
2024-02-10,0.0153,0.0698
2024-02-11,0.0121,0.0606
2024-02-12,0.02,0.0607
2024-02-13,0.0122,0.0545
2024-02-14,0.0238,0.0587
2024-02-15,0.0239,0.0483
2024-02-16,0.0213,0.0536
2024-02-17,0.0205,0.0609
2024-02-18,0.0339,0.0925
2024-02-19,0.0153,0.0724
2024-02-20,0.0213,0.0501
2024-02-21,0.0224,0.0404
2024-02-22,0.0298,0.0545
2024-02-23,0.0189,0.0444
2024-02-24,0.0291,0.0743
2024-02-25,0.0219,0.0697
2024-02-26,0.0217,0.0671
2024-02-27,0.0206,0.0446
2024-02-28,0.0169,0.0484
2024-02-29,0.022,0.0614
2024-03-01,0.0192,0.0986
2024-03-02,0.0339,0.1482
2024-03-03,0.0152,0.1156
2024-03-04,0.0152,0.0925
2024-03-05,0.021,0.0749
2024-03-06,0.0171,0.0518
2024-03-07,0.0246,0.0509
2024-03-08,0.0199,0.053
2024-03-09,0.0353,0.0758
2024-03-10,0.0294,0.0805
2024-03-11,0.0101,0.0463
2024-03-12,0.0153,0.0476
2024-03-13,0.017,0.0549
2024-03-14,0.019,0.0509
2024-03-15,0.0175,0.0556
2024-03-16,0.0357,0.0737
2024-03-17,0.0267,0.0764
2024-03-18,0.0251,0.0496
2024-03-19,0.0182,0.0484
2024-03-20,0.0257,0.0409
2024-03-21,0.0302,0.0496
2024-03-22,0.0278,0.0736
2024-03-23,0.042,0.0641
2024-03-24,0.0364,0.0526
2024-03-25,0.0146,0.0631
2024-03-26,0.0231,0.0406
2024-03-27,0.0152,0.0479
2024-03-28,0.0187,0.0391
2024-03-29,0.0184,0.0458
2024-03-30,0.0281,0.0674
2024-03-31,0.0471,0.1067
2024-04-01,0.0201,0.0759
2024-04-02,0.0267,0.0395
2024-04-03,0.0203,0.0642
2024-04-04,0.0148,0.0485
2024-04-05,0.0184,0.062
